stage_id,candidate_id,req_id,stage_name,stage_sequence,stage_date,outcome,interviewer_id,feedback_score
STG000584,CAN00216,REQ1006,Profile Submission,2,2024-05-27,Rejected – Skills,REC010,3
STG000585,CAN00217,REQ1001,Recruiter Screening,1,2025-04-28,Cleared,\N,5
STG000586,CAN00217,REQ1001,Profile Submission,2,2025-05-08,Cleared,REC005,4
STG000587,CAN00217,REQ1001,Technical Round 1,3,2025-05-20,Cleared,REC001,3
STG000588,CAN00217,REQ1001,Technical Round 2,4,2025-06-03,Cleared,REC009,4
STG000589,CAN00217,REQ1001,Hiring Manager Round,5,2025-06-13,Cleared,REC010,3
STG000590,CAN00217,REQ1001,Offer Stage,6,2025-06-30,Cleared,REC010,5
STG000591,CAN00218,REQ1017,Recruiter Screening,1,2024-10-28,Cleared,\N,4
STG000592,CAN00218,REQ1017,Profile Submission,2,2024-10-31,Cleared,REC003,3
STG000593,CAN00218,REQ1017,Technical Round 1,3,2024-11-08,Cleared,REC010,5
STG000594,CAN00218,REQ1017,Technical Round 2,4,2024-11-15,Rejected – Skills,REC012,2
STG000595,CAN00219,REQ1049,Recruiter Screening,1,2025-01-21,Rejected – Skills,\N,2
STG000596,CAN00220,REQ1046,Recruiter Screening,1,2024-12-23,Cleared,\N,3
STG000597,CAN00220,REQ1046,Profile Submission,2,2024-12-30,Rejected – Skills,REC008,1
STG000598,CAN00221,REQ1041,Recruiter Screening,1,2025-02-11,Cleared,\N,5
STG000599,CAN00221,REQ1041,HR Intro Round,2,2025-02-17,Cleared,REC004,5
STG000600,CAN00221,REQ1041,Technical Round 1,3,2025-02-25,Cleared,REC001,3
STG000601,CAN00221,REQ1041,Hiring Manager Round,4,2025-03-03,Cleared,REC013,3
STG000602,CAN00221,REQ1041,Offer Stage,5,2025-03-10,On Hold – Panel Unavailable,REC007,\N
STG000603,CAN00222,REQ1013,Recruiter Screening,1,2024-11-01,Cleared,\N,3
STG000604,CAN00222,REQ1013,Profile Submission,2,2024-11-06,Cleared,REC002,3
STG000605,CAN00222,REQ1013,Technical Round 1,3,2024-11-14,Cleared,REC010,5
STG000606,CAN00222,REQ1013,Technical Round 2,4,2024-11-18,Rejected – Skills,REC015,2
STG000607,CAN00223,REQ1026,Recruiter Screening,1,2024-09-12,Rejected – Skills,\N,2
STG000608,CAN00224,REQ1008,Recruiter Screening,1,2025-03-05,Cleared,\N,4
STG000609,CAN00224,REQ1008,HR Intro Round,2,2025-03-10,Cleared,REC006,3
STG000610,CAN00224,REQ1008,Technical Round 1,3,2025-03-17,Cleared,REC010,5
STG000611,CAN00224,REQ1008,Hiring Manager Round,4,2025-03-24,Cleared,REC012,4
STG000612,CAN00224,REQ1008,Offer Stage,5,2025-03-31,Cleared,REC008,3
STG000613,CAN00225,REQ1051,Recruiter Screening,1,2024-05-17,Req Cancelled Mid-Process,\N,\N
STG000614,CAN00226,REQ1046,Recruiter Screening,1,2025-02-11,Cleared,\N,4
STG000615,CAN00226,REQ1046,Profile Submission,2,2025-02-12,Rejected – Culture Fit,REC015,2
STG000616,CAN00227,REQ1026,Recruiter Screening,1,2024-09-11,Cleared,\N,5
STG000617,CAN00227,REQ1026,Profile Submission,2,2024-09-12,Cleared,REC009,4
STG000618,CAN00227,REQ1026,Technical Round 1,3,2024-09-13,Rejected – Skills,REC003,2
STG000619,CAN00228,REQ1024,Recruiter Screening,1,2024-06-18,Cleared,\N,5
STG000620,CAN00228,REQ1024,Profile Submission,2,2024-06-24,Cleared,REC009,4
STG000621,CAN00228,REQ1024,Technical Round 1,3,2024-07-01,Req Cancelled Mid-Process,REC001,\N
STG000622,CAN00229,REQ1045,Recruiter Screening,1,2024-03-18,Cleared,\N,3
STG000623,CAN00229,REQ1045,Profile Submission,2,2024-04-05,Cleared,REC010,4
STG000624,CAN00229,REQ1045,Technical Round 1,3,2024-04-17,Cleared,REC008,5
STG000625,CAN00229,REQ1045,Technical Round 2,4,2024-04-29,Cleared,REC013,5
STG000626,CAN00229,REQ1045,System Design Round,5,2024-05-16,Cleared,REC014,3
STG000627,CAN00229,REQ1045,Panel Round,6,2024-05-30,Rejected – Compensation Mismatch,REC015,3
STG000628,CAN00230,REQ1002,Recruiter Screening,1,2024-12-02,Cleared,\N,4
STG000629,CAN00230,REQ1002,Profile Submission,2,2024-12-16,Cleared,REC013,5
STG000630,CAN00230,REQ1002,Technical Round 1,3,2024-12-27,Cleared,REC009,4
STG000631,CAN00230,REQ1002,Technical Round 2,4,2024-12-30,Cleared,REC004,5
STG000632,CAN00230,REQ1002,System Design Round,5,2024-12-31,Cleared,REC006,3
STG000633,CAN00230,REQ1002,Panel Round,6,2025-01-01,Rejected – Compensation Mismatch,REC010,2
STG000634,CAN00231,REQ1043,Recruiter Screening,1,2024-03-28,Cleared,\N,5
STG000635,CAN00231,REQ1043,Profile Submission,2,2024-04-01,Rejected – Compensation Mismatch,REC002,2
STG000636,CAN00232,REQ1001,Recruiter Screening,1,2025-06-23,Rejected – Skills,\N,3
STG000637,CAN00233,REQ1009,Recruiter Screening,1,2025-05-08,Cleared,\N,5
STG000638,CAN00233,REQ1009,Profile Submission,2,2025-05-13,Cleared,REC005,5
STG000639,CAN00233,REQ1009,Technical Round 1,3,2025-05-19,Cleared,REC010,3
STG000640,CAN00233,REQ1009,Technical Round 2,4,2025-05-22,Cleared,REC014,3
STG000641,CAN00233,REQ1009,System Design Round,5,2025-05-27,Cleared,REC001,3
STG000642,CAN00233,REQ1009,Panel Round,6,2025-06-04,Cleared,REC014,3
STG000643,CAN00233,REQ1009,Offer Stage,7,2025-06-09,Rejected – Culture Fit,REC010,3
STG000644,CAN00234,REQ1053,Recruiter Screening,1,2024-02-23,Cleared,\N,3
STG000645,CAN00234,REQ1053,HR Intro Round,2,2024-03-01,Cleared,REC003,4
STG000646,CAN00234,REQ1053,Technical Round 1,3,2024-03-04,On Hold – Panel Unavailable,REC011,\N
STG000647,CAN00235,REQ1022,Recruiter Screening,1,2024-07-15,Rejected – Skills,\N,1
STG000648,CAN00236,REQ1057,Recruiter Screening,1,2025-03-21,Cleared,\N,4
STG000649,CAN00236,REQ1057,Profile Submission,2,2025-03-26,Cleared,REC010,3
STG000650,CAN00236,REQ1057,Technical Round 1,3,2025-04-01,Rejected – Culture Fit,REC005,3
STG000651,CAN00237,REQ1053,Recruiter Screening,1,2024-03-04,Cleared,\N,5
STG000652,CAN00238,REQ1002,Recruiter Screening,1,2024-12-23,Cleared,\N,3
STG000653,CAN00238,REQ1002,Profile Submission,2,2024-12-24,Cleared,REC002,5
STG000654,CAN00238,REQ1002,Technical Round 1,3,2024-12-25,Rejected – Skills,REC015,1
STG000655,CAN00239,REQ1007,Recruiter Screening,1,2024-10-18,Cleared,\N,4
STG000656,CAN00239,REQ1007,Profile Submission,2,2024-10-21,Cleared,REC012,5
STG000657,CAN00240,REQ1016,Recruiter Screening,1,2024-10-22,Rejected – Skills,\N,2
STG000658,CAN00241,REQ1014,Recruiter Screening,1,2024-03-21,Cleared,\N,3
STG000659,CAN00241,REQ1014,Profile Submission,2,2024-03-29,Cleared,REC012,5
STG000660,CAN00241,REQ1014,Technical Round 1,3,2024-04-02,Cleared,REC005,3
STG000661,CAN00241,REQ1014,Technical Round 2,4,2024-04-10,Cleared,REC014,5
STG000662,CAN00241,REQ1014,System Design Round,5,2024-04-15,Cleared,REC010,3
STG000663,CAN00241,REQ1014,Panel Round,6,2024-04-19,Rejected – Culture Fit,REC013,2
STG000664,CAN00242,REQ1016,Recruiter Screening,1,2024-10-31,Rejected – Skills,\N,2
STG000665,CAN00243,REQ1040,Recruiter Screening,1,2025-02-17,Cleared,\N,4
STG000666,CAN00243,REQ1040,Profile Submission,2,2025-02-24,Cleared,REC001,4
STG000667,CAN00243,REQ1040,Technical Round 1,3,2025-03-03,Rejected – Compensation Mismatch,REC006,3
STG000668,CAN00244,REQ1060,Recruiter Screening,1,2025-02-10,Cleared,\N,5
STG000669,CAN00244,REQ1060,HR Intro Round,2,2025-02-26,Cleared,REC012,3
STG000670,CAN00244,REQ1060,Technical Round 1,3,2025-02-27,Cleared,REC006,3
STG000671,CAN00244,REQ1060,Hiring Manager Round,4,2025-02-28,Cleared,REC001,3
STG000672,CAN00244,REQ1060,Offer Stage,5,2025-03-03,Cleared,REC006,4
STG000673,CAN00245,REQ1056,Recruiter Screening,1,2025-06-23,Cleared,\N,5
STG000674,CAN00245,REQ1056,Profile Submission,2,2025-06-30,Rejected – Culture Fit,REC012,1
STG000675,CAN00246,REQ1037,Recruiter Screening,1,2024-08-16,Cleared,\N,4
STG000676,CAN00246,REQ1037,Profile Submission,2,2024-08-30,Cleared,REC007,3
STG000677,CAN00246,REQ1037,Technical Round 1,3,2024-09-16,Cleared,REC003,4
STG000678,CAN00246,REQ1037,Technical Round 2,4,2024-09-17,Cleared,REC010,3
STG000679,CAN00246,REQ1037,Technical Round 3,5,2024-09-18,Cleared,REC009,3
STG000680,CAN00247,REQ1044,Recruiter Screening,1,2025-01-02,Cleared,\N,4
STG000681,CAN00247,REQ1044,Profile Submission,2,2025-01-06,Candidate Withdrew,REC003,\N
STG000682,CAN00248,REQ1048,Recruiter Screening,1,2024-04-29,Cleared,\N,4
STG000683,CAN00248,REQ1048,HR Intro Round,2,2024-05-06,Cleared,REC009,3
STG000684,CAN00248,REQ1048,Technical Round 1,3,2024-05-10,Cleared,REC002,4
STG000685,CAN00248,REQ1048,Hiring Manager Round,4,2024-05-17,Cleared,REC006,\N
STG000686,CAN00248,REQ1048,Offer Stage,5,2024-05-27,Cleared,REC002,5
STG000687,CAN00249,REQ1038,Recruiter Screening,1,2025-03-31,Cleared,\N,5
STG000688,CAN00249,REQ1038,Profile Submission,2,2025-04-07,Rejected – Skills,REC001,1
STG000689,CAN00250,REQ1059,Recruiter Screening,1,2025-03-19,Rejected – Skills,\N,2
STG000690,CAN00251,REQ1021,Recruiter Screening,1,2025-01-30,Cleared,\N,5
STG000691,CAN00251,REQ1021,Profile Submission,2,2025-02-03,Rejected – Skills,REC001,1
STG000692,CAN00252,REQ1027,Recruiter Screening,1,2025-03-21,Cleared,\N,5
STG000693,CAN00252,REQ1027,Profile Submission,2,2025-03-24,Rejected – Compensation Mismatch,REC008,1
STG000694,CAN00253,REQ1010,Recruiter Screening,1,2024-11-15,Cleared,\N,4
STG000695,CAN00253,REQ1010,Profile Submission,2,2024-11-25,Cleared,REC010,5
STG000696,CAN00253,REQ1010,Technical Round 1,3,2024-12-02,Cleared,REC013,3
STG000697,CAN00253,REQ1010,Technical Round 2,4,2024-12-05,Cleared,REC005,3
STG000698,CAN00253,REQ1010,Hiring Manager Round,5,2024-12-09,Rejected – Skills,REC009,2
STG000699,CAN00254,REQ1048,Recruiter Screening,1,2024-05-24,Cleared,\N,4
STG000700,CAN00254,REQ1048,HR Intro Round,2,2024-05-27,Cleared,REC012,3
STG000701,CAN00254,REQ1048,Technical Round 1,3,2024-05-28,Cleared,REC013,5
STG000702,CAN00255,REQ1026,Recruiter Screening,1,2024-08-05,Cleared,\N,3
STG000703,CAN00255,REQ1026,Profile Submission,2,2024-08-22,Cleared,REC006,4
STG000704,CAN00255,REQ1026,Technical Round 1,3,2024-09-09,Cleared,REC009,3
STG000705,CAN00255,REQ1026,Technical Round 2,4,2024-09-10,Cleared,REC009,5
STG000706,CAN00255,REQ1026,System Design Round,5,2024-09-11,Cleared,REC005,3
STG000707,CAN00255,REQ1026,Panel Round,6,2024-09-12,Cleared,REC014,5
STG000708,CAN00255,REQ1026,Culture Fit Round,7,2024-09-13,Cleared,REC001,3
STG000709,CAN00255,REQ1026,Offer Stage,8,2024-09-16,Cleared,REC010,4
STG000710,CAN00256,REQ1013,Recruiter Screening,1,2024-10-24,Cleared,\N,3
STG000711,CAN00256,REQ1013,Profile Submission,2,2024-10-29,Cleared,REC014,4
STG000712,CAN00256,REQ1013,Technical Round 1,3,2024-11-04,Cleared,REC010,4
STG000713,CAN00256,REQ1013,Technical Round 2,4,2024-11-11,Cleared,REC015,3
STG000714,CAN00256,REQ1013,Technical Round 3,5,2024-11-18,Cleared,REC008,3
STG000715,CAN00256,REQ1013,System Design Round,6,2024-11-26,Cleared,REC004,4
STG000716,CAN00256,REQ1013,Panel Round,7,2024-12-02,Cleared,REC005,3
STG000717,CAN00256,REQ1013,Founder/CXO Round,8,2024-12-06,Cleared,REC003,4
STG000718,CAN00256,REQ1013,Reference Check,9,2024-12-09,Cleared,REC013,3
STG000719,CAN00257,REQ1057,Recruiter Screening,1,2025-04-21,Rejected – Skills,\N,2
STG000720,CAN00258,REQ1027,Recruiter Screening,1,2025-03-12,Cleared,\N,5
STG000721,CAN00258,REQ1027,Profile Submission,2,2025-03-17,Rejected – Culture Fit,REC001,2
STG000722,CAN00259,REQ1050,Recruiter Screening,1,2024-06-10,Cleared,\N,5
STG000723,CAN00259,REQ1050,HR Intro Round,2,2024-06-13,Cleared,REC003,3
STG000724,CAN00259,REQ1050,Technical Round 1,3,2024-06-18,Cleared,REC001,3
STG000725,CAN00259,REQ1050,Hiring Manager Round,4,2024-06-24,Cleared,REC014,4
STG000726,CAN00260,REQ1049,Recruiter Screening,1,2025-05-08,Cleared,\N,5
STG000727,CAN00260,REQ1049,HR Intro Round,2,2025-05-12,Cleared,REC001,5
STG000728,CAN00260,REQ1049,Technical Round 1,3,2025-05-19,Cleared,REC009,5
STG000729,CAN00260,REQ1049,Hiring Manager Round,4,2025-05-26,Rejected – Skills,REC010,1
STG000730,CAN00261,REQ1032,Recruiter Screening,1,2025-02-10,Cleared,\N,4
STG000731,CAN00261,REQ1032,Profile Submission,2,2025-02-17,Cleared,REC009,3
STG000732,CAN00261,REQ1032,Technical Round 1,3,2025-02-25,Rejected – Culture Fit,REC004,2
STG000733,CAN00262,REQ1008,Recruiter Screening,1,2025-04-07,Rejected – Skills,\N,2
STG000734,CAN00263,REQ1037,Recruiter Screening,1,2024-07-29,Cleared,\N,5
STG000735,CAN00263,REQ1037,Profile Submission,2,2024-08-12,Cleared,REC012,5
STG000736,CAN00263,REQ1037,Technical Round 1,3,2024-08-23,Cleared,REC002,3
STG000737,CAN00263,REQ1037,Technical Round 2,4,2024-09-09,Rejected – Compensation Mismatch,REC002,1
STG000738,CAN00264,REQ1002,Recruiter Screening,1,2024-11-18,Cleared,\N,5
STG000739,CAN00264,REQ1002,Profile Submission,2,2024-12-02,Cleared,REC011,5
STG000740,CAN00264,REQ1002,Technical Round 1,3,2024-12-12,Cleared,REC014,3
STG000741,CAN00264,REQ1002,Technical Round 2,4,2024-12-30,Cleared,REC011,4
STG000742,CAN00264,REQ1002,System Design Round,5,2024-12-31,Cleared,REC014,5
STG000743,CAN00264,REQ1002,Panel Round,6,2025-01-01,Cleared,REC015,3
STG000744,CAN00264,REQ1002,Culture Fit Round,7,2025-01-02,Cleared,REC006,4
STG000745,CAN00264,REQ1002,Offer Stage,8,2025-01-03,Rejected – Culture Fit,REC005,2
STG000746,CAN00265,REQ1016,Recruiter Screening,1,2024-10-25,Rejected – Skills,\N,3
STG000747,CAN00266,REQ1009,Recruiter Screening,1,2024-07-08,Cleared,\N,5
STG000748,CAN00266,REQ1009,Profile Submission,2,2024-07-16,Cleared,REC003,4
STG000749,CAN00266,REQ1009,Technical Round 1,3,2024-07-22,Cleared,REC005,5
STG000750,CAN00266,REQ1009,Technical Round 2,4,2024-07-25,Rejected – Compensation Mismatch,REC013,2
STG000751,CAN00267,REQ1002,Recruiter Screening,1,2024-12-16,Cleared,\N,5
STG000752,CAN00267,REQ1002,Profile Submission,2,2024-12-30,Rejected – Skills,REC006,2
STG000753,CAN00268,REQ1058,Recruiter Screening,1,2025-05-13,Cleared,\N,4
STG000754,CAN00268,REQ1058,HR Intro Round,2,2025-05-16,Cleared,REC010,3
STG000755,CAN00268,REQ1058,Technical Round 1,3,2025-05-23,Cleared,REC004,4
STG000756,CAN00268,REQ1058,Hiring Manager Round,4,2025-05-26,Cleared,REC011,5
STG000757,CAN00268,REQ1058,Offer Stage,5,2025-05-29,Candidate Ghosted,REC007,\N
STG000758,CAN00269,REQ1057,Recruiter Screening,1,2025-03-28,Cleared,\N,4
STG000759,CAN00269,REQ1057,Profile Submission,2,2025-04-02,Cleared,REC008,4
STG000760,CAN00269,REQ1057,Technical Round 1,3,2025-04-09,Cleared,REC012,4
STG000761,CAN00269,REQ1057,Technical Round 2,4,2025-04-15,Rejected – Culture Fit,REC015,3
STG000762,CAN00270,REQ1011,Recruiter Screening,1,2024-03-04,Req Cancelled Mid-Process,\N,\N
STG000763,CAN00271,REQ1047,Recruiter Screening,1,2024-02-26,Cleared,\N,4
STG000764,CAN00271,REQ1047,Profile Submission,2,2024-03-05,Candidate Ghosted,REC004,\N
STG000765,CAN00272,REQ1049,Recruiter Screening,1,2025-04-21,Cleared,\N,3
STG000766,CAN00272,REQ1049,HR Intro Round,2,2025-04-24,Cleared,REC014,5
STG000767,CAN00272,REQ1049,Technical Round 1,3,2025-05-02,Cleared,REC007,4
STG000768,CAN00272,REQ1049,Hiring Manager Round,4,2025-05-06,Cleared,REC001,3
STG000769,CAN00272,REQ1049,Offer Stage,5,2025-05-09,Rejected – Skills,REC010,1
STG000770,CAN00273,REQ1014,Recruiter Screening,1,2024-05-20,Cleared,\N,3
STG000771,CAN00273,REQ1014,Profile Submission,2,2024-05-27,Cleared,REC008,4
STG000772,CAN00273,REQ1014,Technical Round 1,3,2024-06-04,Cleared,REC006,4
STG000773,CAN00273,REQ1014,Technical Round 2,4,2024-06-10,Rejected – Skills,REC005,1
STG000774,CAN00274,REQ1054,Recruiter Screening,1,2024-04-22,Cleared,\N,5
STG000775,CAN00274,REQ1054,Profile Submission,2,2024-04-29,Cleared,REC002,4
STG000776,CAN00274,REQ1054,Technical Round 1,3,2024-05-06,Cleared,REC003,3
STG000777,CAN00274,REQ1054,Technical Round 2,4,2024-05-13,Cleared,REC006,4
STG000778,CAN00274,REQ1054,System Design Round,5,2024-05-17,Cleared,REC014,3
STG000779,CAN00274,REQ1054,Panel Round,6,2024-05-21,Rejected – Culture Fit,REC014,3
STG000780,CAN00275,REQ1040,Recruiter Screening,1,2025-05-19,Cleared,\N,4
STG000781,CAN00275,REQ1040,Profile Submission,2,2025-05-26,Cleared,REC012,3
STG000782,CAN00275,REQ1040,Technical Round 1,3,2025-06-02,Cleared,REC003,3
STG000783,CAN00275,REQ1040,Technical Round 2,4,2025-06-10,Cleared,REC004,3
STG000784,CAN00275,REQ1040,System Design Round,5,2025-06-16,Interview No-Show,REC007,\N
STG000785,CAN00276,REQ1023,Recruiter Screening,1,2024-09-12,Cleared,\N,5
STG000786,CAN00276,REQ1023,HR Intro Round,2,2024-09-16,Cleared,REC002,3
STG000787,CAN00276,REQ1023,Technical Round 1,3,2024-09-23,Cleared,REC015,3
STG000788,CAN00276,REQ1023,Hiring Manager Round,4,2024-09-30,Cleared,REC011,3
STG000789,CAN00276,REQ1023,Offer Stage,5,2024-10-07,Cleared,REC005,5
STG000790,CAN00277,REQ1029,Recruiter Screening,1,2025-02-24,Cleared,\N,3
STG000791,CAN00277,REQ1029,Profile Submission,2,2025-03-03,Cleared,REC015,3
STG000792,CAN00277,REQ1029,Technical Round 1,3,2025-03-10,Rejected – Compensation Mismatch,REC010,3
STG000793,CAN00278,REQ1032,Recruiter Screening,1,2025-05-16,Cleared,\N,4
STG000794,CAN00278,REQ1032,Profile Submission,2,2025-05-19,Cleared,REC013,4
STG000795,CAN00278,REQ1032,Technical Round 1,3,2025-05-26,Rejected – Skills,REC002,1
STG000796,CAN00279,REQ1045,Recruiter Screening,1,2025-06-13,Cleared,\N,4
STG000797,CAN00279,REQ1045,Profile Submission,2,2025-06-26,Rejected – Compensation Mismatch,REC011,2
STG000798,CAN00280,REQ1019,Recruiter Screening,1,2024-06-03,Cleared,\N,4
STG000799,CAN00280,REQ1019,Profile Submission,2,2024-06-11,Cleared,REC002,3
STG000800,CAN00280,REQ1019,Technical Round 1,3,2024-06-17,Cleared,REC002,4
STG000801,CAN00280,REQ1019,Technical Round 2,4,2024-06-21,Rejected – Skills,REC013,3
STG000802,CAN00281,REQ1017,Recruiter Screening,1,2024-11-25,Cleared,\N,3
STG000803,CAN00282,REQ1051,Recruiter Screening,1,2024-05-27,Req Cancelled Mid-Process,\N,\N
STG000804,CAN00283,REQ1024,Recruiter Screening,1,2024-06-26,Req Cancelled Mid-Process,\N,\N
STG000805,CAN00284,REQ1034,Recruiter Screening,1,2024-10-28,Cleared,\N,4
STG000806,CAN00284,REQ1034,Profile Submission,2,2024-10-29,Cleared,REC001,5
STG000807,CAN00285,REQ1046,Recruiter Screening,1,2024-12-20,Cleared,\N,4
STG000808,CAN00285,REQ1046,Profile Submission,2,2024-12-30,Cleared,REC012,4
STG000809,CAN00285,REQ1046,Technical Round 1,3,2025-01-06,Cleared,REC008,5
STG000810,CAN00285,REQ1046,Technical Round 2,4,2025-01-14,Cleared,REC008,4
STG000811,CAN00285,REQ1046,System Design Round,5,2025-01-21,Rejected – Compensation Mismatch,REC005,2
STG000812,CAN00286,REQ1022,Recruiter Screening,1,2024-08-12,Cleared,\N,4
STG000813,CAN00286,REQ1022,Profile Submission,2,2024-08-19,Rejected – Skills,REC006,3
STG000814,CAN00287,REQ1049,Recruiter Screening,1,2025-02-03,Cleared,\N,5
STG000815,CAN00287,REQ1049,HR Intro Round,2,2025-02-06,Rejected – Culture Fit,REC001,1
STG000816,CAN00288,REQ1026,Recruiter Screening,1,2024-07-15,Cleared,\N,3
STG000817,CAN00288,REQ1026,Profile Submission,2,2024-07-30,Cleared,REC002,5
STG000818,CAN00288,REQ1026,Technical Round 1,3,2024-08-16,Cleared,REC008,4
STG000819,CAN00288,REQ1026,Technical Round 2,4,2024-09-03,Rejected – Culture Fit,REC010,1
STG000820,CAN00289,REQ1054,Recruiter Screening,1,2025-02-10,Cleared,\N,5
STG000821,CAN00289,REQ1054,Profile Submission,2,2025-02-17,Rejected – Skills,REC012,1
STG000822,CAN00290,REQ1040,Recruiter Screening,1,2025-04-28,Cleared,\N,4
STG000823,CAN00290,REQ1040,Profile Submission,2,2025-05-05,Rejected – Skills,REC006,3
STG000824,CAN00291,REQ1034,Recruiter Screening,1,2024-10-03,Cleared,\N,3
STG000825,CAN00291,REQ1034,Profile Submission,2,2024-10-10,Cleared,REC008,5
STG000826,CAN00291,REQ1034,Technical Round 1,3,2024-10-15,Candidate Ghosted,REC009,\N
STG000827,CAN00292,REQ1015,Recruiter Screening,1,2025-05-30,Cleared,\N,4
STG000828,CAN00292,REQ1015,Profile Submission,2,2025-06-05,Cleared,REC011,3
STG000829,CAN00292,REQ1015,Technical Round 1,3,2025-06-09,Rejected – Culture Fit,REC011,2
STG000830,CAN00293,REQ1059,Recruiter Screening,1,2025-03-03,Cleared,\N,4
STG000831,CAN00293,REQ1059,HR Intro Round,2,2025-03-10,On Hold – Panel Unavailable,REC007,\N
STG000832,CAN00294,REQ1048,Recruiter Screening,1,2024-05-08,Cleared,\N,5
STG000833,CAN00294,REQ1048,HR Intro Round,2,2024-05-14,Rejected – Skills,REC006,1
STG000834,CAN00295,REQ1042,Recruiter Screening,1,2025-05-27,Rejected – Skills,\N,3
STG000835,CAN00296,REQ1016,Recruiter Screening,1,2024-11-04,Cleared,\N,4
STG000836,CAN00296,REQ1016,Profile Submission,2,2024-11-11,Rejected – Skills,REC012,3
STG000837,CAN00297,REQ1060,Recruiter Screening,1,2025-02-18,Cleared,\N,4
STG000838,CAN00297,REQ1060,HR Intro Round,2,2025-02-19,Cleared,REC009,4
STG000839,CAN00297,REQ1060,Technical Round 1,3,2025-02-20,Cleared,REC015,4
STG000840,CAN00297,REQ1060,Hiring Manager Round,4,2025-03-04,Cleared,REC001,4
STG000841,CAN00298,REQ1045,Recruiter Screening,1,2024-09-23,Rejected – Skills,\N,2
STG000842,CAN00299,REQ1046,Recruiter Screening,1,2025-01-13,Rejected – Skills,\N,3
STG000843,CAN00300,REQ1045,Recruiter Screening,1,2024-02-28,Rejected – Skills,\N,2
STG000844,CAN00301,REQ1052,Recruiter Screening,1,2024-11-12,Cleared,\N,3
STG000845,CAN00301,REQ1052,Profile Submission,2,2024-11-15,Cleared,REC003,5
STG000846,CAN00301,REQ1052,Technical Round 1,3,2024-11-18,Req Cancelled Mid-Process,REC011,\N
STG000847,CAN00302,REQ1006,Recruiter Screening,1,2024-05-21,Rejected – Skills,\N,2
STG000848,CAN00303,REQ1036,Recruiter Screening,1,2024-09-09,Cleared,\N,3
STG000849,CAN00303,REQ1036,Profile Submission,2,2024-09-16,Rejected – Culture Fit,REC004,3
STG000850,CAN00304,REQ1042,Recruiter Screening,1,2024-03-18,Cleared,\N,4
STG000851,CAN00304,REQ1042,HR Intro Round,2,2024-03-25,Cleared,REC006,3
STG000852,CAN00304,REQ1042,Technical Round 1,3,2024-03-29,Rejected – Compensation Mismatch,REC009,3
STG000853,CAN00305,REQ1036,Recruiter Screening,1,2024-09-27,Cleared,\N,4
STG000854,CAN00305,REQ1036,Profile Submission,2,2024-09-30,Rejected – Skills,REC014,2
STG000855,CAN00306,REQ1006,Recruiter Screening,1,2024-05-21,Cleared,\N,4
STG000856,CAN00306,REQ1006,Profile Submission,2,2024-05-22,Cleared,REC010,4
STG000857,CAN00306,REQ1006,Technical Round 1,3,2024-05-23,Cleared,REC012,4
STG000858,CAN00306,REQ1006,Technical Round 2,4,2024-05-24,Rejected – Skills,REC007,3
STG000859,CAN00307,REQ1024,Recruiter Screening,1,2024-06-17,Rejected – Skills,\N,3
STG000860,CAN00308,REQ1001,Recruiter Screening,1,2025-01-22,Cleared,\N,3
STG000861,CAN00308,REQ1001,Profile Submission,2,2025-02-03,Cleared,REC015,4
STG000862,CAN00308,REQ1001,Technical Round 1,3,2025-02-20,Cleared,REC007,5
STG000863,CAN00308,REQ1001,Technical Round 2,4,2025-03-04,Cleared,REC008,3
STG000864,CAN00308,REQ1001,Hiring Manager Round,5,2025-03-18,Rejected – Skills,REC015,2
STG000865,CAN00309,REQ1037,Recruiter Screening,1,2024-09-04,Cleared,\N,\N
STG000866,CAN00309,REQ1037,Profile Submission,2,2024-09-16,Cleared,REC013,5
STG000867,CAN00309,REQ1037,Technical Round 1,3,2024-09-17,Cleared,REC003,3
STG000868,CAN00309,REQ1037,Technical Round 2,4,2024-09-18,Cleared,REC007,4
STG000869,CAN00310,REQ1028,Recruiter Screening,1,2025-01-08,Cleared,\N,3
STG000870,CAN00310,REQ1028,Profile Submission,2,2025-01-13,Cleared,REC003,4
STG000871,CAN00310,REQ1028,Technical Round 1,3,2025-01-17,Rejected – Skills,REC015,3
STG000872,CAN00311,REQ1039,Recruiter Screening,1,2025-01-16,Cleared,\N,3
STG000873,CAN00311,REQ1039,Profile Submission,2,2025-01-21,Cleared,REC002,5
STG000874,CAN00311,REQ1039,Technical Round 1,3,2025-01-27,Cleared,REC014,3
STG000875,CAN00312,REQ1056,Recruiter Screening,1,2024-09-03,Cleared,\N,3
STG000876,CAN00312,REQ1056,Profile Submission,2,2024-09-11,Cleared,REC012,5
STG000877,CAN00312,REQ1056,Technical Round 1,3,2024-09-18,Cleared,REC005,5
STG000878,CAN00312,REQ1056,Technical Round 2,4,2024-09-23,Rejected – Skills,REC010,3
STG000879,CAN00313,REQ1060,Recruiter Screening,1,2025-02-10,Cleared,\N,4
STG000880,CAN00313,REQ1060,HR Intro Round,2,2025-02-24,Cleared,REC012,4
STG000881,CAN00313,REQ1060,Technical Round 1,3,2025-02-25,Rejected – Culture Fit,REC011,2
STG000882,CAN00314,REQ1042,Recruiter Screening,1,2025-05-05,Cleared,\N,4
STG000883,CAN00314,REQ1042,HR Intro Round,2,2025-05-12,Cleared,REC002,4
